serial,age,amount,credit_history,credit_risk,duration,employment_duration,foreign_worker,housing,installment_rate,job,number_credits,other_debtors,other_installment_plans,people_liable,personal_status_sex,present_residence,property,purpose,savings,status,telephone,
794,53.0,795.0,2.0,0.0,12.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,6.0,1.0,1.0,1.0,
956,55.0,1190.0,4.0,0.0,18.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,4.0,4.0,5.0,1.0,1.0,1.0,
664,28.0,1068.0,2.0,1.0,6.0,5.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,1.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,
854,37.0,1344.0,4.0,0.0,24.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,5.0,3.0,1.0,
215,35.0,1549.0,2.0,1.0,9.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,0.0,5.0,2.0,1.0,
875,34.0,1837.0,1.0,0.0,24.0,4.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,6.0,1.0,2.0,1.0,
908,23.0,2406.0,2.0,0.0,30.0,4.0,2.0,1.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,
716,27.0,2613.0,0.0,1.0,36.0,3.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,5.0,1.0,4.0,1.0,
272,40.0,7678.0,3.0,1.0,36.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,2.0,
43,36.0,1028.0,4.0,1.0,18.0,3.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,0.0,1.0,4.0,1.0,
921,27.0,3552.0,1.0,0.0,24.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,
947,25.0,2210.0,2.0,0.0,10.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,
868,28.0,9398.0,2.0,0.0,36.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,2.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,
480,67.0,3872.0,2.0,1.0,18.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,3.0,5.0,1.0,2.0,2.0,
744,63.0,7596.0,4.0,1.0,30.0,5.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,1.0,5.0,4.0,1.0,
